word,PoS,score
=[,EMOT,-1
=@,EMOT,-1
=p,EMOT,-1
=P,EMOT,-1
=x,EMOT,-1
=d,EMOT,1
=D,EMOT,1
;),EMOT,1
;@,EMOT,-1
;*,EMOT,-1
;**,EMOT,-1
;~,EMOT,-1
;D,EMOT,-1
;p,EMOT,-1
;P,EMOT,-1
;x,EMOT,-1
;xx,EMOT,-1
:'(,EMOT,-1
:'),EMOT,-1
:(,EMOT,-1
:),EMOT,1
:))),EMOT,1
:],EMOT,-1
:@,EMOT,0
:*,EMOT,-1
:<,EMOT,-1
:~,EMOT,-1
:$,EMOT,-1
:D,EMOT,1
:p,EMOT,-1
:P,EMOT,0
:x,EMOT,-1
:x),EMOT,1
(:,EMOT,-1
(=,EMOT,1
):,EMOT,-1
)):,EMOT,-1
*:,EMOT,-1
#2,HTAG,-1
#2011,HTAG,-1
#2014,HTAG,-1
#4square,HTAG,-1
#64bit,HTAG,1
#adsl,HTAG,-1
#aduvirientregate,HTAG,1
#afazenda,HTAG,-1
#aff,HTAG,-1
#again,HTAG,-1
#agendadeldia,HTAG,1
#agua,HTAG,1
#aimeucora,HTAG,-1
#alan,HTAG,-1
#aline,HTAG,-1
#amo,HTAG,1
#amodoro,HTAG,1
#amor,HTAG,-1
#amorposmoderno,HTAG,1
#an,HTAG,1
#android,HTAG,1
#animada,HTAG,-1
#apagao,HTAG,-1
#apps,HTAG,-1
#aqu,HTAG,1
#ari,HTAG,-1
#ariane,HTAG,-1
#bad,HTAG,-1
#bakugan,HTAG,-1
#bam,HTAG,1
#bandida,HTAG,-1
#bankonline,HTAG,1
#batalhanerd,HTAG,1
#beer,HTAG,1
#beijo,HTAG,1
#belemfeelings,HTAG,-1
#bigmistake,HTAG,-1
#bigsuprise,HTAG,1
#bio,HTAG,1
#biologia,HTAG,-1
#birdbrain,HTAG,-1
#blackberry,HTAG,-1
#blackhat,HTAG,-1
#blogprog,HTAG,-1
#bodareal,HTAG,-1
#bombando,HTAG,-1
#bomdia,HTAG,-1
#bomdiabrasil,HTAG,-1
#boobs,HTAG,1
#boomsm,HTAG,1
#boss,HTAG,1
#brandsclub,HTAG,-1
