id,text,preprocessed,sentiment
1435695806452011008,@projetoskinny não vai com nenhum pq a gente tá numa pandemia .,não vai com nenhum gente numa pandemia,0
1435695762948726787,"@renanmouraglobo Em SP governo só libera em SP, logo essa já é um acordo furado....aí espera em novembro, chega em novembro e Rio e Minas pioram com a pandemia e fica pra Dezembro",governo libera logo essa acordo furado espera novembro chega novembro rio minas pioram com pandemia fica pra dezembro,-1
1435695755805741059,viagem nunca q ia dar certo no meio da pandemia e eu já n queria festa,viagem nunca dar certo meio pandemia queria festa,0
1435695709446197252,@FBITricolor até porque os hospitais estão vazios e a pandemia controlada graças a deus,até porque hospitais estão vazios pandemia controlada graças deus,0
1435695680861921280,also foi bem antes da pandemia (acho q o tweet se referia a isso),also foi bem antes pandemia acho tweet referia isso,0
1435695602067726339,"@MauraVelosodeM1 @randolfeap Reflita vc!! Os pobres, miseráveis e invisíveis muitos estavam  nos movimentos de ontem … Bolsonaro ajudou muito essas pessoas na pandemia com a ajuda emergencial! Em gratidão, esse povo está apoiando Bolsonaro !",reflita pobres miseráveis invisíveis muitos estavam nos movimentos ontem bolsonaro ajudou muito essas pessoas pandemia com ajuda emergencial gratidão esse povo está apoiando bolsonaro,-1
1435695598104203266,"Eu sou a pessoa mais feliz do mundo por ter acompanhado essa história desde o começo. Sen Çal Kapımı, obrigada por salvar minha sanidade no meio dessa pandemia 🥺🤧

Vou sentir saudades todos os dias ♥️ https://t.co/4gX6N3rhSs",sou pessoa mais feliz mundo por ter acompanhado essa história desde começo sen çal kapımı obrigada por salvar minha sanidade meio dessa pandemia vou sentir saudades todos dias,1
1435695591674220554,"@beccacvargas naooo, mais ou menos no 4º mes de pandemia eu surtei e voltei a comer carne. só não sei se vou manter kkkk",naoo mais menos mes pandemia surtei voltei comer carne não sei vou manter,0
1435695584506155011,"Bolsonarismo disposto a derrubar... Bolsonaro. 

Fazer lockout em favor do governo, é a primeira vez na história do mundo.

O presidente não era contra iniciativas sanitárias que, para combater a pandemia, dificultavam a circulação?

Pra ""defender o governo"", aí pode? https://t.co/U7Df1gyGlV",bolsonarismo disposto derrubar bolsonaro fazer lockout favor governo primeira vez história mundo presidente não era contra iniciativas sanitárias que para combater pandemia dificultavam circulação pra defender governo pode,2
1435695569712918533,Tudo der certo: segunda dose no braço e se a pandemia não estourar dnv pelo amor de deus preciso trabalhar,tudo der certo segunda dose braço pandemia não estourar dnv pelo amor deus preciso trabalhar,3
1435695550020657155,@___caio_Ocrente @Luclaw1 @JornalismoWando O discurso anti-sus se enfraqueceu na pandemia. Sobraram somente os lixos que ninguém liga. Tá engraçado demais ver que os lixos bolsonaristas estão presos ao método. Fico mais tranquilo ao saber que ele perderá feio as eleições em 2022.,discurso anti sus enfraqueceu pandemia sobraram somente lixos que ninguém liga engraçado demais ver que lixos bolsonaristas estão presos método fico mais tranquilo saber que ele perderá feio eleições,-1
1435695544698081283,@fernandesjoabe5 @joaoguilherm @ESPNBrasil E na 23° rodada a pandemia vai ter acabado ?,rodada pandemia vai ter acabado,-2
1435695537395806210,"@alvarodias_ ""O Podemos descarta aderir ao movimento de impeachment do Presidente JB, por entender que a abertura de uma nova crise política, em meio à pandemia do coronavírus, desemprego e crise econômica, só agravaria o sofrimento o sofrimento das camadas mais vulneráveis..""

Que Vergonha❗",podemos descarta aderir movimento impeachment presidente por entender que abertura uma nova crise política meio pandemia coronavírus desemprego crise econômica agravaria sofrimento sofrimento das camadas mais vulneráveis que vergonha,-2
1435695526041636867,tô presa no meu antes x depois do início da pandemia pra cá (perdi 10 kgs),presa meu antes depois início pandemia pra perdi kgs,-2
1435695520928894982,2019 eu tava muito feia então o sarrafo da pandemia não tá tão alto (silver lining),tava muito feia então sarrafo pandemia não tão alto silver lining,-1
1435695517170814987,previsão: a pandemia vai acabar na rodada 23 do brasileirão https://t.co/1j1Qw2aRFg,previsão pandemia vai acabar rodada brasileirão,-1
1435695507880517636,"Minha irmã de outra mãe a thread;

Oi gente,  hoje vou expor uma parte minha na internet sobre um assunto que pra mim é muito delicado, mas tomei coragem para me abrir sobre e aceitar quem eu sou.
De um tempo pra cá a pandemia fudeu muito meu psicológico e eu fiquei muito mal e + https://t.co/dprOQD4xzT",minha irmã outra mãe thread gente hoje vou expor uma parte minha internet sobre assunto que pra mim muito delicado mas tomei coragem para abrir sobre aceitar quem sou tempo pra pandemia fudeu muito meu psicológico fiquei muito mal,0
1435695506928373760,"@eocoreinha @HaddadDebochado Só para não dizer, que não falei das pérolas do fique em casa
https://t.co/3o0BixASdY",para não dizer que não falei das pérolas fique casa,0
1435695505938452480,vcs realmente não querem que a pandemia acabe https://t.co/PU33KdaqMf,vcs realmente não querem que pandemia acabe,0
1435695492479004683,e eu achava que a pandemia tava acabando… https://t.co/tlzNh8j2oA,achava que pandemia tava acabando,0
1435695401437433858,"Então, @intercom_2020, justamente pela dificuldade da pandemia é q a gte esperava mais.
Tem todo tipo de transporte por aí, de coisas bem mais pesadas e/ou quebráveis que os troféus e elas chegam em perfeito estado em todo o Brasil. Boton é brinde!
Tristeza e decepção. https://t.co/9I3R2K3LeL",então justamente pela dificuldade pandemia gte esperava mais tem todo tipo transporte por coisas bem mais pesadas quebráveis que troféus elas chegam perfeito estado todo brasil boton brinde tristeza decepção,0
1435695392734199815,Lembrando aqui da vez que passei o dia todinho de pandemia jogando tênis em GTA V 🤭🤭🤭 eu era bem melhor atropelando o povo pelas ruas e ultrapassando os sinais vermelhos,lembrando aqui vez que passei dia todinho pandemia jogando tênis gta era bem melhor atropelando povo pelas ruas ultrapassando sinais vermelhos,1
1435695365391634433,@manuhwdy sim! ultima e unica vez que vi algo do tipo foi no início da pandemia 🤯,sim ultima unica vez que algo tipo foi início pandemia,0
1435695362505953284,"@serepjms @itachionce @emoktaehy pare! sou uma pessoa mudada agr, a pandemia me transformou em santa JURO",pare sou uma pessoa mudada agr pandemia transformou santa juro,1
1435695352418553859,"Se trabalha pela torcida, faz uma enquete sobre a opinião da torcida em relação a postura da diretoria no quesito público e demais problemas relacionados a pandemia.",trabalha pela torcida faz uma enquete sobre opinião torcida relação postura diretoria quesito público demais problemas relacionados pandemia,-4
1435695317379395584,"“O juiz negacionista” que boa forma de tentarem humilhar alguém que, mesmo com arrogância, defendeu algo que me parece inerente. Um dos poucos agentes de autoridade que não se quer aproveitar da pandemia para andar aí a distribuir porrada e a controlar as pessoas.",juiz negacionista que boa forma tentarem humilhar alguém que mesmo com arrogância defendeu algo que parece inerente dos poucos agentes autoridade que não quer aproveitar pandemia para andar distribuir porrada controlar pessoas,2
1435695299973025801,@TNTSportsBR O correto seria condições iguais. Mas em nada estão preocupados com pandemia.,correto seria condições iguais mas nada estão preocupados com pandemia,-1
1435695261226049536,"sim eu vou ser a veia chata q vai ficar falando de 5 em 5 minutos q viveu uma pandemia, coitada de qm tover perto de mim",sim vou ser veia chata vai ficar falando minutos viveu uma pandemia coitada tover perto mim,0
1435695218314121217,"Compartilhe https://t.co/qtJDW2oOiq DêLike
Dicas para Realizar Reuniões Virtuais durante a Pandemia
✔ Brazil SFE Book®

#AndréLuizBernardes #eBook #REUNIÕESONLINE #REUNIÃOVIRTUAL #REUNIÕESREMOTAS #Vídeoconferência #Webconferência #Skype #WhatsApp #GoolgleMeet #Zoom #Webex https://t.co/Lz6AJA1N4S",compartilhe dêlike dicas para realizar reuniões virtuais durante pandemia brazil sfe book,1
1435695215835222017,Eu passei 1 ano sem ir pra faculdade por causa da pandemia e quando eu posso voltar acabou o combustível no estado 🤡,passei ano sem pra faculdade por causa pandemia quando posso voltar acabou combustível estado,-1
1435695214736330757,"Se a Economia vai mal, devemos aos governadores que não souberam lidar com a pandemia, levando milhares de comerciantes e donos de indústrias, pequenos empresários à falência ! Consequentemente o desemprego em massa, isso sem falar nos informais! O PRESIDENTE SEMPRE TEVE RAZÃO !!",economia vai mal devemos aos governadores que não souberam lidar com pandemia levando milhares comerciantes donos indústrias pequenos empresários falência consequentemente desemprego massa isso sem falar nos informais presidente sempre teve razão,-2
1435695208247828488,"@LuizFCAlmeida Ninguém vai sair da pandemia no mesmo momento, na mesma situação, e isso é de reconhecimento mundial. A Premier League, melhor referência atual possível, seguiu exatamente esse modelo.

Aqui a gente tem essa patifaria. Condições iguais só quando convêm não é ""isonomia"".",ninguém vai sair pandemia mesmo momento mesma situação isso reconhecimento mundial premier league melhor referência atual possível seguiu exatamente esse modelo aqui gente tem essa patifaria condições iguais quando convêm não isonomia,-1
1435695186915598343,"minha mãe me prometeu que no ano seguinte eu ia pra bienal mas veio a pandemia, eu saí da escola, enfim não aconteceu",minha mãe prometeu que ano seguinte pra bienal mas veio pandemia saí escola enfim não aconteceu,-1
